,gene_name,ribosomal_subunit
ENSG00000011485,PPP5C,False
ENSG00000011523,CEP68,False
ENSG00000011566,MAP4K3,False
ENSG00000011590,ZBTB32,False
ENSG00000011600,TYROBP,False
ENSG00000011638,TMEM159,False
ENSG00000011677,GABRA3,False
ENSG00000012048,BRCA1,False
ENSG00000012061,ERCC1,False
ENSG00000012124,CD22,False
ENSG00000012171,SEMA3B,False
ENSG00000012174,MBTPS2,False
ENSG00000012211,PRICKLE3,False
ENSG00000012223,LTF,False
ENSG00000012232,EXTL3,False
ENSG00000012504,NR1H4,False
ENSG00000012660,ELOVL5,False
ENSG00000012779,ALOX5,False
ENSG00000012817,KDM5D,False
ENSG00000012822,CALCOCO1,False
ENSG00000012963,UBR7,False
ENSG00000012983,MAP4K5,False
ENSG00000013016,EHD3,False
ENSG00000013275,PSMC4,False
ENSG00000013288,MAN2B2,False
ENSG00000013293,SLC7A14,False
ENSG00000013297,CLDN11,False
ENSG00000013306,SLC25A39,False
ENSG00000013364,MVP,False
ENSG00000013374,NUB1,False
ENSG00000013375,PGM3,False
ENSG00000013392,RWDD2A,False
ENSG00000013441,CLK1,False
ENSG00000013503,POLR3B,False
ENSG00000013523,ANGEL1,False
ENSG00000013561,RNF14,False
ENSG00000013563,DNASE1L1,False
ENSG00000013573,DDX11,False
ENSG00000013583,HEBP1,False
ENSG00000013588,GPRC5A,False
ENSG00000013619,MAMLD1,False
ENSG00000013725,CD6,False
ENSG00000013810,TACC3,False
ENSG00000014123,UFL1,False
ENSG00000014138,POLA2,False
ENSG00000014164,ZC3H3,False
ENSG00000014216,CAPN1,False
ENSG00000014257,ACPP,False
ENSG00000014641,MDH1,False
ENSG00000014824,SLC30A9,False
ENSG00000014914,MTMR11,False
ENSG00000014919,COX15,False
ENSG00000015133,CCDC88C,False
ENSG00000015153,YAF2,False
ENSG00000015171,ZMYND11,False
ENSG00000015285,WAS,False
ENSG00000015413,DPEP1,False
ENSG00000015475,BID,False
ENSG00000015479,MATR3,False
ENSG00000015520,NPC1L1,False
ENSG00000015532,XYLT2,False
ENSG00000015568,RGPD5,False
ENSG00000015592,STMN4,False
ENSG00000015676,NUDCD3,False
ENSG00000016082,ISL1,False
ENSG00000016391,CHDH,False
ENSG00000016402,IL20RA,False
ENSG00000016490,CLCA1,False
ENSG00000016602,CLCA4,False
ENSG00000016864,GLT8D1,False
ENSG00000017260,ATP2C1,False
ENSG00000017427,IGF1,False
ENSG00000017483,SLC38A5,False
ENSG00000017797,RALBP1,False
ENSG00000018189,RUFY3,False
ENSG00000018236,CNTN1,False
ENSG00000018280,SLC11A1,False
ENSG00000018408,WWTR1,False
ENSG00000018510,AGPS,False
ENSG00000018610,CXorf56,False
ENSG00000018625,ATP1A2,False
ENSG00000018699,TTC27,False
ENSG00000018869,ZNF582,False
ENSG00000019102,VSIG2,False
ENSG00000019144,PHLDB1,False
ENSG00000019169,MARCO,False
ENSG00000019186,CYP24A1,False
ENSG00000019485,PRDM11,False
ENSG00000019505,SYT13,False
ENSG00000019549,SNAI2,False
ENSG00000019582,CD74,False
ENSG00000019991,HGF,False
ENSG00000019995,ZRANB1,False
ENSG00000020129,NCDN,False
ENSG00000020181,GPR124,False
ENSG00000020256,ZFP64,False
ENSG00000020426,MNAT1,False
ENSG00000020577,SAMD4A,False
ENSG00000020633,RUNX3,False
ENSG00000020922,MRE11A,False
ENSG00000021300,PLEKHB1,False
ENSG00000021355,SERPINB1,False
ENSG00000021461,CYP3A43,False
ENSG00000021488,SLC7A9,False
ENSG00000021574,SPAST,False
ENSG00000021645,NRXN3,False
ENSG00000021762,OSBPL5,False
ENSG00000021776,AQR,False
ENSG00000021826,CPS1,False
ENSG00000021852,C8B,False
ENSG00000022267,FHL1,False
ENSG00000022277,RTFDC1,False
ENSG00000022355,GABRA1,False
ENSG00000022556,NLRP2,False
ENSG00000022567,SLC45A4,False
ENSG00000022840,RNF10,False
ENSG00000022976,ZNF839,False
ENSG00000023041,ZDHHC6,False
ENSG00000023171,GRAMD1B,False
ENSG00000023191,RNH1,False
ENSG00000023228,NDUFS1,False
ENSG00000023287,RB1CC1,False
ENSG00000023318,ERP44,False
ENSG00000023330,ALAS1,False
ENSG00000023445,BIRC3,False
ENSG00000023516,AKAP11,False
ENSG00000023572,GLRX2,False
ENSG00000023608,SNAPC1,False
ENSG00000023697,DERA,False
ENSG00000023734,STRAP,False
ENSG00000023839,ABCC2,False
ENSG00000023892,DEF6,False
ENSG00000023902,PLEKHO1,False
ENSG00000023909,GCLM,False
ENSG00000024048,UBR2,False
ENSG00000024422,EHD2,False
ENSG00000024526,DEPDC1,False
ENSG00000024862,CCDC28A,False
ENSG00000025039,RRAGD,False
ENSG00000025156,HSF2,False
ENSG00000025293,PHF20,False
ENSG00000025423,HSD17B6,False
ENSG00000025434,NR1H3,False
ENSG00000025708,TYMP,False
ENSG00000025770,NCAPH2,False
ENSG00000025772,TOMM34,False
ENSG00000025796,SEC63,False
ENSG00000025800,KPNA6,False
ENSG00000026025,VIM,False
ENSG00000026036,RTEL1-TNFRSF6B,False
ENSG00000026103,FAS,False
ENSG00000026297,RNASET2,False
ENSG00000026508,CD44,False
ENSG00000026559,KCNG1,False
ENSG00000026652,AGPAT4,False
ENSG00000026751,SLAMF7,False
ENSG00000026950,BTN3A1,False
ENSG00000027001,MIPEP,False
ENSG00000027075,PRKCH,False
ENSG00000027697,IFNGR1,False
ENSG00000027847,B4GALT7,False
ENSG00000027869,SH2D2A,False
ENSG00000028116,VRK2,False
ENSG00000028137,TNFRSF1B,False
ENSG00000028203,VEZT,False
ENSG00000028277,POU2F2,False
ENSG00000028310,BRD9,False
ENSG00000028528,SNX1,False
ENSG00000028839,TBPL1,False
ENSG00000029153,ARNTL2,False
ENSG00000029363,BCLAF1,False
ENSG00000029364,SLC39A9,False
ENSG00000029534,ANK1,False
ENSG00000029639,TFB1M,False
ENSG00000029725,RABEP1,False
ENSG00000029993,HMGB3,False
ENSG00000030066,NUP160,False
ENSG00000030110,BAK1,False
ENSG00000030304,MUSK,False
ENSG00000030419,IKZF2,False
ENSG00000030582,GRN,False
ENSG00000031003,FAM13B,False
ENSG00000031081,ARHGAP31,False
ENSG00000031691,CENPQ,False
ENSG00000031698,SARS,False
ENSG00000031823,RANBP3,False
ENSG00000032219,ARID4A,False
ENSG00000032389,TSSC1,False
ENSG00000032444,PNPLA6,False
ENSG00000032742,IFT88,False
ENSG00000033011,ALG1,False
ENSG00000033030,ZCCHC8,False
ENSG00000033050,ABCF2,False
ENSG00000033100,CHPF2,False
ENSG00000033122,LRRC7,False
ENSG00000033170,FUT8,False
ENSG00000033178,UBA6,False
ENSG00000033327,GAB2,False
ENSG00000033627,ATP6V0A1,False
ENSG00000033800,PIAS1,False
ENSG00000033867,SLC4A7,False
